"date","state","region_code","region_name","lat","long","patients_hospitalized","patients_intensive_care","total_patients_hospitalized","home_confinement","positive","positive_variation","new_positive","recovered","death","total_cases","tests_performed","total_people_tested","intensive_care_admission","color"
2020-10-01,"ITA",8,"Emilia-Romagna",44.49436681,11.3417208,206,14,220,4434,4654,1,103,26276,4484,35414,1184856,670418,NA,"white"
2020-10-02,"ITA",8,"Emilia-Romagna",44.49436681,11.3417208,201,11,212,4465,4677,23,163,26416,4484,35577,1197910,676766,NA,"white"
2020-10-03,"ITA",8,"Emilia-Romagna",44.49436681,11.3417208,200,11,211,4579,4790,113,167,26468,4485,35743,1207777,680394,NA,"white"
2020-10-04,"ITA",8,"Emilia-Romagna",44.49436681,11.3417208,212,11,223,4731,4954,164,179,26482,4486,35922,1214835,684859,NA,"white"
2020-10-05,"ITA",8,"Emilia-Romagna",44.49436681,11.3417208,213,11,224,4822,5046,92,167,26556,4487,36089,1219843,686918,NA,"white"
2020-10-06,"ITA",8,"Emilia-Romagna",44.49436681,11.3417208,212,13,225,4929,5154,108,172,26617,4490,36261,1231229,691551,NA,"white"
2020-10-07,"ITA",8,"Emilia-Romagna",44.49436681,11.3417208,223,14,237,5058,5295,141,193,26668,4491,36454,1246110,698835,NA,"white"
2020-10-08,"ITA",8,"Emilia-Romagna",44.49436681,11.3417208,232,13,245,5179,5424,129,184,26722,4492,36638,1257805,704510,NA,"white"
2020-10-09,"ITA",8,"Emilia-Romagna",44.49436681,11.3417208,226,14,240,5369,5609,185,276,26812,4493,36914,1268552,709568,NA,"white"
2020-10-10,"ITA",8,"Emilia-Romagna",44.49436681,11.3417208,241,16,257,5719,5976,367,383,26827,4494,37297,1282331,715054,NA,"white"
2020-10-11,"ITA",8,"Emilia-Romagna",44.49436681,11.3417208,254,23,277,6072,6349,373,384,26837,4495,37681,1290991,719690,NA,"white"
2020-10-12,"ITA",8,"Emilia-Romagna",44.49436681,11.3417208,284,25,309,6364,6673,324,337,26849,4496,38018,1297651,723741,NA,"white"
2020-10-13,"ITA",8,"Emilia-Romagna",44.49436681,11.3417208,323,31,354,6522,6876,203,341,26982,4498,38356,1310995,728221,NA,"white"
2020-10-14,"ITA",8,"Emilia-Romagna",44.49436681,11.3417208,383,35,418,6730,7148,272,339,27045,4502,38695,1326602,736069,NA,"white"
2020-10-15,"ITA",8,"Emilia-Romagna",44.49436681,11.3417208,392,49,441,7080,7521,373,453,27124,4503,39148,1339233,742503,NA,"white"
2020-10-16,"ITA",8,"Emilia-Romagna",44.49436681,11.3417208,404,61,465,7568,8033,512,544,27155,4504,39692,1352796,748337,NA,"white"
2020-10-17,"ITA",8,"Emilia-Romagna",44.49436681,11.3417208,427,65,492,8157,8649,616,641,27175,4509,40333,1366109,754101,NA,"white"
2020-10-18,"ITA",8,"Emilia-Romagna",44.49436681,11.3417208,439,67,506,8657,9163,514,526,27181,4515,40859,1375298,760075,NA,"white"
2020-10-19,"ITA",8,"Emilia-Romagna",44.49436681,11.3417208,481,70,551,9119,9670,507,552,27222,4518,41410,1383324,763923,NA,"white"
2020-10-20,"ITA",8,"Emilia-Romagna",44.49436681,11.3417208,531,78,609,9559,10168,498,507,27226,4523,41917,1399873,769327,NA,"white"
2020-10-21,"ITA",8,"Emilia-Romagna",44.49436681,11.3417208,596,86,682,10118,10800,632,671,27257,4531,42588,1417038,777142,NA,"white"
2020-10-22,"ITA",8,"Emilia-Romagna",44.49436681,11.3417208,636,86,722,10941,11663,863,889,27277,4537,43477,1433217,783681,NA,"white"
2020-10-23,"ITA",8,"Emilia-Romagna",44.49436681,11.3417208,657,86,743,11771,12514,851,888,27304,4547,44365,1449195,790989,NA,"white"
2020-10-24,"ITA",8,"Emilia-Romagna",44.49436681,11.3417208,723,89,812,12830,13642,1128,1180,27343,4557,45542,1466807,799074,NA,"white"
2020-10-25,"ITA",8,"Emilia-Romagna",44.49436681,11.3417208,757,88,845,13983,14828,1186,1192,27345,4561,46734,1476451,804679,NA,"white"
2020-10-26,"ITA",8,"Emilia-Romagna",44.49436681,11.3417208,816,93,909,14860,15769,941,1146,27544,4564,47877,1488534,811249,NA,"white"
2020-10-27,"ITA",8,"Emilia-Romagna",44.49436681,11.3417208,934,103,1037,16043,17080,1311,1413,27626,4579,49285,1509935,818615,NA,"white"
2020-10-28,"ITA",8,"Emilia-Romagna",44.49436681,11.3417208,999,119,1118,17112,18230,1150,1212,27671,4593,50494,1531311,827354,NA,"white"
2020-10-29,"ITA",8,"Emilia-Romagna",44.49436681,11.3417208,1054,123,1177,18536,19713,1483,1545,27724,4601,52038,1553171,835830,NA,"white"
2020-10-30,"ITA",8,"Emilia-Romagna",44.49436681,11.3417208,1157,119,1276,20145,21421,1708,1763,27764,4612,53797,1570748,842483,NA,"white"
2020-10-31,"ITA",8,"Emilia-Romagna",44.49436681,11.3417208,1223,125,1348,21865,23213,1792,2046,27997,4631,55841,1589691,849335,NA,"white"
2020-11-01,"ITA",8,"Emilia-Romagna",44.49436681,11.3417208,1267,132,1399,23518,24917,1704,1758,28033,4647,57597,1601730,858385,NA,"white"
2020-11-02,"ITA",8,"Emilia-Romagna",44.49436681,11.3417208,1382,138,1520,24972,26492,1575,1652,28093,4664,59249,1612029,865327,NA,"white"
2020-11-03,"ITA",8,"Emilia-Romagna",44.49436681,11.3417208,1464,153,1617,26731,28348,1856,1912,28123,4687,61158,1635729,874120,NA,"white"
2020-11-04,"ITA",8,"Emilia-Romagna",44.49436681,11.3417208,1554,161,1715,28259,29974,1626,1758,28241,4699,62914,1654130,882474,NA,"white"
2020-11-05,"ITA",8,"Emilia-Romagna",44.49436681,11.3417208,1588,177,1765,30211,31976,2002,2180,28403,4712,65091,1674462,890032,NA,"white"
2020-11-06,"ITA",8,"Emilia-Romagna",44.49436681,11.3417208,1673,177,1850,31880,33730,1754,1953,28559,4752,67041,1695309,897938,NA,"yellow"
2020-11-07,"ITA",8,"Emilia-Romagna",44.49436681,11.3417208,1723,188,1911,33738,35649,1919,2009,28619,4781,69049,1715527,906435,NA,"yellow"
2020-11-08,"ITA",8,"Emilia-Romagna",44.49436681,11.3417208,1836,194,2030,35822,37852,2203,2360,28740,4816,71408,1728477,914731,NA,"yellow"
2020-11-09,"ITA",8,"Emilia-Romagna",44.49436681,11.3417208,1939,204,2143,37487,39630,1778,2025,28978,4824,73432,1740948,922303,NA,"yellow"
2020-11-10,"ITA",8,"Emilia-Romagna",44.49436681,11.3417208,2020,215,2235,39545,41780,2150,2430,29230,4845,75855,1763487,931259,NA,"yellow"
2020-11-11,"ITA",8,"Emilia-Romagna",44.49436681,11.3417208,2072,222,2294,41597,43891,2111,2428,29516,4876,78283,1784161,939211,NA,"yellow"
2020-11-12,"ITA",8,"Emilia-Romagna",44.49436681,11.3417208,2094,228,2322,43702,46024,2133,2402,29735,4925,80684,1804471,947920,NA,"yellow"
2020-11-13,"ITA",8,"Emilia-Romagna",44.49436681,11.3417208,2164,225,2389,45767,48156,2132,2384,29947,4965,83068,1824983,956466,NA,"yellow"
2020-11-14,"ITA",8,"Emilia-Romagna",44.49436681,11.3417208,2243,231,2474,48088,50562,2406,2637,30129,5008,85699,1846431,965000,NA,"yellow"
2020-11-15,"ITA",8,"Emilia-Romagna",44.49436681,11.3417208,2285,246,2531,50670,53201,2639,2822,30275,5044,88520,1858993,972719,NA,"orange"
2020-11-16,"ITA",8,"Emilia-Romagna",44.49436681,11.3417208,2393,247,2640,52789,55429,2228,2547,30570,5067,91066,1873435,980006,NA,"orange"
2020-11-17,"ITA",8,"Emilia-Romagna",44.49436681,11.3417208,2451,247,2698,54570,57268,1839,2219,30902,5115,93285,1895816,988202,NA,"orange"
2020-11-18,"ITA",8,"Emilia-Romagna",44.49436681,11.3417208,2449,244,2693,56626,59319,2051,2371,31167,5168,95654,1916548,995472,NA,"orange"
2020-11-19,"ITA",8,"Emilia-Romagna",44.49436681,11.3417208,2489,244,2733,58276,61009,1690,2160,31587,5218,97814,1935478,1003409,NA,"orange"
2020-11-20,"ITA",8,"Emilia-Romagna",44.49436681,11.3417208,2534,244,2778,60156,62934,1925,2533,32145,5265,100344,1957785,1011858,NA,"orange"
2020-11-21,"ITA",8,"Emilia-Romagna",44.49436681,11.3417208,2594,241,2835,62245,65080,2146,2723,32672,5312,103064,1977482,1019829,NA,"orange"
2020-11-22,"ITA",8,"Emilia-Romagna",44.49436681,11.3417208,2666,249,2915,64359,67274,2194,2665,33105,5350,105729,1990596,1027297,NA,"orange"
2020-11-23,"ITA",8,"Emilia-Romagna",44.49436681,11.3417208,2738,248,2986,66394,69380,2106,2347,33309,5384,108073,2002154,1033714,NA,"orange"
2020-11-24,"ITA",8,"Emilia-Romagna",44.49436681,11.3417208,2723,243,2966,68378,71344,1964,2501,33788,5439,110571,2021756,1041385,NA,"orange"
2020-11-25,"ITA",8,"Emilia-Romagna",44.49436681,11.3417208,2763,249,3012,69514,72526,1182,2130,34681,5493,112700,2040254,1048727,NA,"orange"
2020-11-26,"ITA",8,"Emilia-Romagna",44.49436681,11.3417208,2679,258,2937,68535,71472,-1054,2157,37835,5548,114855,2057518,1055046,NA,"orange"
2020-11-27,"ITA",8,"Emilia-Romagna",44.49436681,11.3417208,2673,250,2923,67366,70289,-1183,2165,41116,5614,117019,2078822,1061899,NA,"orange"
2020-11-28,"ITA",8,"Emilia-Romagna",44.49436681,11.3417208,2673,245,2918,66865,69783,-506,2172,43717,5684,119184,2096063,1068411,NA,"orange"
2020-11-29,"ITA",8,"Emilia-Romagna",44.49436681,11.3417208,2668,245,2913,67316,70229,446,1850,45089,5714,121032,2109497,1074568,NA,"orange"
2020-11-30,"ITA",8,"Emilia-Romagna",44.49436681,11.3417208,2755,249,3004,68730,71734,1505,2041,45586,5753,123073,2120489,1079854,NA,"orange"
2020-12-01,"ITA",8,"Emilia-Romagna",44.49436681,11.3417208,2729,247,2976,68866,71842,108,1471,46894,5805,124541,2137305,1085200,NA,"orange"
2020-12-02,"ITA",8,"Emilia-Romagna",44.49436681,11.3417208,2692,247,2939,68366,71305,-537,1569,48931,5874,126110,2156981,1091519,NA,"orange"
2020-12-03,"ITA",8,"Emilia-Romagna",44.49436681,11.3417208,2668,245,2913,67324,70237,-1068,1766,51674,5959,127870,2174960,1097761,14,"orange"
2020-12-04,"ITA",8,"Emilia-Romagna",44.49436681,11.3417208,2717,248,2965,67091,70056,-181,2143,53931,6022,130009,2192637,1103704,18,"orange"
2020-12-05,"ITA",8,"Emilia-Romagna",44.49436681,11.3417208,2707,243,2950,66679,69629,-427,1964,56270,6074,131973,2211300,1109844,12,"orange"
2020-12-06,"ITA",8,"Emilia-Romagna",44.49436681,11.3417208,2736,241,2977,65190,68167,-1462,1788,59432,6162,133761,2222471,1115823,12,"yellow"
2020-12-07,"ITA",8,"Emilia-Romagna",44.49436681,11.3417208,2805,239,3044,66437,69481,1314,1891,59951,6219,135651,2232336,1119423,10,"yellow"
2020-12-08,"ITA",8,"Emilia-Romagna",44.49436681,11.3417208,2781,234,3015,63507,66522,-2959,1624,64480,6268,137270,2248912,1124534,21,"yellow"
2020-12-09,"ITA",8,"Emilia-Romagna",44.49436681,11.3417208,2857,233,3090,62753,65843,-679,1079,66191,6314,138348,2259395,1128691,8,"yellow"
2020-12-10,"ITA",8,"Emilia-Romagna",44.49436681,11.3417208,2845,229,3074,61643,64717,-1126,1453,68697,6386,139800,2276951,1133307,17,"yellow"
2020-12-11,"ITA",8,"Emilia-Romagna",44.49436681,11.3417208,2812,231,3043,61012,64055,-662,1211,70508,6447,141010,2294410,1138536,18,"yellow"
2020-12-12,"ITA",8,"Emilia-Romagna",44.49436681,11.3417208,2813,222,3035,60937,63972,-83,1807,72315,6529,142816,2312385,1144793,14,"yellow"
2020-12-13,"ITA",8,"Emilia-Romagna",44.49436681,11.3417208,2819,220,3039,61723,64762,790,1940,73421,6572,144755,2323522,1150185,14,"yellow"
2020-12-14,"ITA",8,"Emilia-Romagna",44.49436681,11.3417208,2831,222,3053,61933,64986,224,1574,74694,6645,146325,2334039,1153725,12,"yellow"
2020-12-15,"ITA",8,"Emilia-Romagna",44.49436681,11.3417208,2797,214,3011,61623,64634,-352,1238,76205,6719,147558,2349809,1157563,17,"yellow"
2020-12-16,"ITA",8,"Emilia-Romagna",44.49436681,11.3417208,2773,212,2985,59861,62846,-1788,1238,79151,6797,148794,2367376,1162546,9,"yellow"
2020-12-17,"ITA",8,"Emilia-Romagna",44.49436681,11.3417208,2801,206,3007,59570,62577,-269,1667,81008,6875,150460,2381673,1167304,6,"yellow"
2020-12-18,"ITA",8,"Emilia-Romagna",44.49436681,11.3417208,2764,207,2971,59355,62326,-251,1745,82928,6950,152204,2398435,1171966,24,"yellow"
2020-12-19,"ITA",8,"Emilia-Romagna",44.49436681,11.3417208,2819,206,3025,57924,60949,-1377,1641,85872,7023,153844,2412286,1176780,14,"yellow"
2020-12-20,"ITA",8,"Emilia-Romagna",44.49436681,11.3417208,2852,201,3053,57863,60916,-33,1751,87594,7083,155593,2423947,1181400,8,"yellow"
2020-12-21,"ITA",8,"Emilia-Romagna",44.49436681,11.3417208,2914,203,3117,58937,62054,1138,1594,88011,7120,157185,2431885,1185099,16,"yellow"
2020-12-22,"ITA",8,"Emilia-Romagna",44.49436681,11.3417208,2891,210,3101,56645,59746,-2308,1162,91411,7188,158345,2451777,1189534,24,"yellow"
2020-12-23,"ITA",8,"Emilia-Romagna",44.49436681,11.3417208,2803,207,3010,55015,58025,-1721,1129,94188,7259,159472,2469690,1194299,21,"yellow"
2020-12-24,"ITA",8,"Emilia-Romagna",44.49436681,11.3417208,2718,201,2919,54380,57299,-726,1692,96529,7335,161163,2485596,1200124,8,"red"
2020-12-25,"ITA",8,"Emilia-Romagna",44.49436681,11.3417208,2711,206,2917,56063,58980,1681,2127,96910,7400,163290,2496457,1204670,16,"red"
2020-12-26,"ITA",8,"Emilia-Romagna",44.49436681,11.3417208,2630,214,2844,54443,57287,-1693,1756,100333,7424,165044,2502232,1208257,19,"red"
2020-12-27,"ITA",8,"Emilia-Romagna",44.49436681,11.3417208,2609,210,2819,55356,58175,888,1283,100659,7493,166327,2508298,1210120,9,"red"
2020-12-28,"ITA",8,"Emilia-Romagna",44.49436681,11.3417208,2642,220,2862,55436,58298,123,750,101255,7524,167077,2518742,1212763,15,"orange"
2020-12-29,"ITA",8,"Emilia-Romagna",44.49436681,11.3417208,2598,221,2819,53993,56812,-1486,894,103543,7614,167969,2538045,1216598,13,"orange"
2020-12-30,"ITA",8,"Emilia-Romagna",44.49436681,11.3417208,2641,230,2871,53186,56057,-755,1427,105656,7683,169396,2556405,1221526,19,"orange"
2020-12-31,"ITA",8,"Emilia-Romagna",44.49436681,11.3417208,2629,233,2862,54484,57346,1289,2116,106428,7738,171512,2572140,1227556,20,"red"
2021-01-01,"ITA",8,"Emilia-Romagna",44.49436681,11.3417208,2643,231,2874,53913,56787,-559,2629,109546,7808,174141,2583512,1232042,11,"red"
2021-01-02,"ITA",8,"Emilia-Romagna",44.49436681,11.3417208,2649,229,2878,55628,58506,1719,2035,109818,7846,176170,2588793,1234681,17,"red"
2021-01-03,"ITA",8,"Emilia-Romagna",44.49436681,11.3417208,2657,234,2891,53737,56628,-1878,1818,113473,7887,177988,2603180,1239887,15,"red"
2021-01-04,"ITA",8,"Emilia-Romagna",44.49436681,11.3417208,2684,235,2919,53466,56385,-243,1600,115260,7941,179586,2612313,1242760,12,"orange"
2021-01-05,"ITA",8,"Emilia-Romagna",44.49436681,11.3417208,2696,232,2928,54249,57177,792,1506,115907,8005,181089,2628108,1246273,18,"red"
2021-01-06,"ITA",8,"Emilia-Romagna",44.49436681,11.3417208,2665,236,2901,55168,58069,892,1576,116526,8066,182661,2644635,1252185,16,"red"
2021-01-07,"ITA",8,"Emilia-Romagna",44.49436681,11.3417208,2701,240,2941,53944,56885,-1184,2228,119874,8130,184889,2654264,1256332,14,"yellow"
2021-01-08,"ITA",8,"Emilia-Romagna",44.49436681,11.3417208,2691,245,2936,53912,56848,-37,2026,121855,8210,186913,2669612,1260158,20,"yellow"
2021-01-09,"ITA",8,"Emilia-Romagna",44.49436681,11.3417208,2679,240,2919,55449,58368,1520,1790,122054,8279,188701,2685079,1264605,15,"orange"
2021-01-10,"ITA",8,"Emilia-Romagna",44.49436681,11.3417208,2705,237,2942,56966,59908,1540,2193,122647,8337,190892,2695285,1269123,13,"orange"
2021-01-11,"ITA",8,"Emilia-Romagna",44.49436681,11.3417208,2741,238,2979,58487,61466,1558,1942,122963,8403,192832,2704917,1272633,14,"orange"
2021-01-12,"ITA",8,"Emilia-Romagna",44.49436681,11.3417208,2730,237,2967,57225,60192,-1274,1563,125749,8454,194395,2721570,1276221,11,"orange"
2021-01-13,"ITA",8,"Emilia-Romagna",44.49436681,11.3417208,2679,229,2908,55072,57980,-2212,1178,129073,8520,195573,2737403,1280780,9,"orange"
2021-01-14,"ITA",8,"Emilia-Romagna",44.49436681,11.3417208,2610,233,2843,53105,55948,-2032,1515,132548,8590,197086,2752436,1285504,13,"orange"
2021-01-15,"ITA",8,"Emilia-Romagna",44.49436681,11.3417208,2511,231,2742,52768,55510,-438,1794,134711,8657,198878,2774816,1289999,10,"orange"
2021-01-16,"ITA",8,"Emilia-Romagna",44.49436681,11.3417208,2508,231,2739,52541,55280,-230,1674,136567,8705,200552,2795628,1294547,21,"orange"
2021-01-17,"ITA",8,"Emilia-Romagna",44.49436681,11.3417208,2529,234,2763,52068,54831,-449,1437,138411,8746,201988,2810351,1299105,13,"orange"
2021-01-18,"ITA",8,"Emilia-Romagna",44.49436681,11.3417208,2564,238,2802,51428,54230,-601,1153,140114,8797,203141,2820331,1301697,16,"orange"
2021-01-19,"ITA",8,"Emilia-Romagna",44.49436681,11.3417208,2520,232,2752,50489,53241,-989,1034,142061,8872,204174,2843983,1305531,14,"orange"
2021-01-20,"ITA",8,"Emilia-Romagna",44.49436681,11.3417208,2490,230,2720,49859,52579,-662,1090,143747,8935,205261,2864629,1310129,14,"orange"
2021-01-21,"ITA",8,"Emilia-Romagna",44.49436681,11.3417208,2456,218,2674,49363,52037,-542,1320,145533,9008,206578,2886578,1314707,10,"orange"
2021-01-22,"ITA",8,"Emilia-Romagna",44.49436681,11.3417208,2402,220,2622,48589,51211,-826,1347,147663,9051,207925,2908287,1318796,15,"orange"
2021-01-23,"ITA",8,"Emilia-Romagna",44.49436681,11.3417208,2390,217,2607,48125,50732,-479,1310,149419,9084,209235,2932963,1322682,13,"orange"
2021-01-24,"ITA",8,"Emilia-Romagna",44.49436681,11.3417208,2383,219,2602,48755,51357,625,1208,149966,9119,210442,2954788,1327963,13,"orange"
2021-01-25,"ITA",8,"Emilia-Romagna",44.49436681,11.3417208,2422,222,2644,48645,51289,-68,1164,151122,9195,211606,2965224,1331075,12,"orange"
2021-01-26,"ITA",8,"Emilia-Romagna",44.49436681,11.3417208,2293,220,2513,46629,49142,-2147,993,154178,9270,212590,2989865,1334176,13,"orange"
2021-01-27,"ITA",8,"Emilia-Romagna",44.49436681,11.3417208,2281,210,2491,45615,48106,-1036,923,156088,9307,213501,3013616,1338043,10,"orange"
2021-01-28,"ITA",8,"Emilia-Romagna",44.49436681,11.3417208,2242,209,2451,45088,47539,-567,1265,157852,9363,214754,3042797,1345403,12,"orange"
2021-01-29,"ITA",8,"Emilia-Romagna",44.49436681,11.3417208,2172,209,2381,44964,47345,-194,1320,159293,9427,216065,3066158,1349723,14,"orange"
2021-01-30,"ITA",8,"Emilia-Romagna",44.49436681,11.3417208,2124,203,2327,44032,46359,-986,1314,161564,9454,217377,3090178,1354289,15,"orange"
2021-01-31,"ITA",8,"Emilia-Romagna",44.49436681,11.3417208,2112,206,2318,44550,46868,509,1277,162307,9476,218651,3103697,1357767,10,"orange"
2021-02-01,"ITA",8,"Emilia-Romagna",44.49436681,11.3417208,2181,207,2388,44219,46607,-261,1051,163585,9510,219702,3113966,1360212,8,"yellow"
2021-02-02,"ITA",8,"Emilia-Romagna",44.49436681,11.3417208,2176,198,2374,42938,45312,-1295,879,165682,9581,220575,3142398,1365345,9,"yellow"
2021-02-03,"ITA",8,"Emilia-Romagna",44.49436681,11.3417208,2122,194,2316,42086,44402,-910,1047,167556,9656,221615,3166204,1369671,8,"yellow"
2021-02-04,"ITA",8,"Emilia-Romagna",44.49436681,11.3417208,2046,188,2234,41575,43809,-593,1192,169281,9714,222804,3192086,1375061,6,"yellow"
2021-02-05,"ITA",8,"Emilia-Romagna",44.49436681,11.3417208,1990,182,2172,40964,43136,-673,1364,171260,9768,224164,3219440,1380164,12,"yellow"
2021-02-06,"ITA",8,"Emilia-Romagna",44.49436681,11.3417208,1956,183,2139,40509,42648,-488,1383,173085,9812,225545,3247836,1385467,17,"yellow"
2021-02-07,"ITA",8,"Emilia-Romagna",44.49436681,11.3417208,1950,181,2131,41130,43261,613,1382,173828,9837,226926,3264051,1390037,7,"yellow"
2021-02-08,"ITA",8,"Emilia-Romagna",44.49436681,11.3417208,2002,183,2185,40588,42773,-488,1273,175556,9869,228198,3275041,1392846,9,"yellow"
2021-02-09,"ITA",8,"Emilia-Romagna",44.49436681,11.3417208,1971,182,2153,40731,42884,111,977,176359,9914,229157,3304742,1396803,7,"yellow"
2021-02-10,"ITA",8,"Emilia-Romagna",44.49436681,11.3417208,1937,183,2120,39593,41713,-1171,930,178414,9951,230078,3335406,1402305,10,"yellow"
2021-02-11,"ITA",8,"Emilia-Romagna",44.49436681,11.3417208,1903,178,2081,38591,40672,-1041,1345,180721,10022,231415,3363109,1407697,9,"yellow"
2021-02-12,"ITA",8,"Emilia-Romagna",44.49436681,11.3417208,1886,175,2061,37952,40013,-659,1538,182876,10049,232938,3391095,1412826,18,"yellow"
2021-02-13,"ITA",8,"Emilia-Romagna",44.49436681,11.3417208,1889,171,2060,36518,38578,-1435,1488,185756,10085,234419,3420148,1417820,6,"yellow"
2021-02-14,"ITA",8,"Emilia-Romagna",44.49436681,11.3417208,1911,171,2082,35838,37920,-658,1323,187688,10126,235734,3436964,1422487,9,"yellow"
2021-02-15,"ITA",8,"Emilia-Romagna",44.49436681,11.3417208,1972,172,2144,35426,37570,-350,1391,189406,10147,237123,3449022,1425777,12,"yellow"
